TITLE = "B00009"
VARIABLES = "x", "y", "Vx", "Vy", "isValid"
ZONE T="Frame 0", I=51, J=39, F=POINT
-124.778223753 125.778223753 -9.0943348435 -2.719028629 1
-121.2226717472 125.778223753 -10.5843081375 -0.1051689756 1
-117.6671197414 125.778223753 -9.5965674763 -2.9685201686 1
-114.1115677357 125.778223753 -10.0046336981 -1.5049494974 1
-110.5560157299 125.778223753 -10.0393368109 -1.3091462342 1
-107.0004637241 125.778223753 -10.9117536416 -0.9512185047 1
-103.4449117184 125.778223753 -11.3455690432 -0.567329668 1
-99.8893597126 125.778223753 -11.5070930485 2.6561215104 1
-96.3338077068 125.778223753 -7.7049387646 -0.7472383757 1
-92.7782557011 125.778223753 -8.8711752841 2.8013447659 1
-89.2227036953 125.778223753 -9.6779122793 -1.2386097289 1
-85.6671516895 125.778223753 -10.0784374175 2.2796148117 1
-82.1115996838 125.778223753 -10.8983668937 -1.3316458605 1
-78.556047678 125.778223753 -9.63930617 1.9339435506 1
-75.0004956722 125.778223753 -9.2351782659 -1.0183818321 1
-71.4449436665 125.778223753 -9.9876441843 -0.5893171364 1
-67.8893916607 125.778223753 0 -0 0
-64.3338396549 125.778223753 0 -0 0
-60.7782876492 125.778223753 0 -0 0
-57.2227356434 125.778223753 -10.5763608597 1.4658665515 1
-53.6671836376 125.778223753 -10.5823124877 -1.9275327465 1
-50.1116316319 125.778223753 -8.2557204342 0.5998958461 1
-46.5560796261 125.778223753 -10.4179274625 3.4278904834 1
-43.0005276203 125.778223753 -10.9323106 4.284395098 1
-39.4449756145 125.778223753 -10.4005494152 2.4763540876 1
-35.8894236088 125.778223753 -10.0537831958 0.9559692108 1
-32.333871603 125.778223753 -11.8410376597 3.4822498633 1
-28.7783195972 125.778223753 -9.6897272322 1.1236920926 1
-25.2227675915 125.778223753 -7.4950599894 1.0110350153 1
-21.6672155857 125.778223753 -12.4091620554 1.2771275351 1
-18.1116635799 125.778223753 -7.9010775796 2.7544028453 1
-14.5561115742 125.778223753 -10.6781036756 -2.4532716609 1
-11.0005595684 125.778223753 -12.8933102162 2.2412029692 1
-7.4450075626 125.778223753 -9.2708527127 0.772369434 1
-3.8894555569 125.778223753 -9.4606513661 -3.5481063049 1
-0.3339035511 125.778223753 -10.3281232239 1.2665841466 1
3.2216484547 125.778223753 -8.9548689492 1.4389341102 1
6.7772004604 125.778223753 -9.6338490393 1.5833449773 1
10.3327524662 125.778223753 -7.8255431197 0.7354410834 1
13.888304472 125.778223753 0 -0 0
17.4438564777 125.778223753 0 -0 0
20.9994084835 125.778223753 0 -0 0
24.5549604893 125.778223753 0 -0 0
28.110512495 125.778223753 0 -0 0
31.6660645008 125.778223753 0 -0 0
35.2216165066 125.778223753 0 -0 0
38.7771685123 125.778223753 -10.3966287582 1.1465802525 1
42.3327205181 125.778223753 -10.2939499296 -1.9044679804 1
45.8882725239 125.778223753 -8.6294014342 2.8815416288 1
49.4438245296 125.778223753 -8.9751080166 2.3906471122 1
52.9993765354 125.778223753 0 -0 0
-124.778223753 122.2226717472 -9.6348733551 0.7256217802 1
-121.2226717472 122.2226717472 -10.3865268851 -0.7526955064 1
-117.6671197414 122.2226717472 -10.0411381939 0.2298882545 1
-114.1115677357 122.2226717472 -8.2747939008 1.7179188806 1
-110.5560157299 122.2226717472 -12.5663945306 1.0357068976 1
-107.0004637241 122.2226717472 -10.213046642 1.4714826277 1
-103.4449117184 122.2226717472 -9.5509147808 -1.2019639482 1
-99.8893597126 122.2226717472 -9.436986139 1.9376876014 1
-96.3338077068 122.2226717472 -8.1595407128 -1.3792412239 1
-92.7782557011 122.2226717472 -10.8039355734 -1.8833988641 1
-89.2227036953 122.2226717472 -11.5525867984 -0.1682880216 1
-85.6671516895 122.2226717472 -8.794174993 -4.0942255716 1
-82.1115996838 122.2226717472 -11.2231809658 2.3125165416 1
-78.556047678 122.2226717472 -8.2653454706 -0.4466899916 1
-75.0004956722 122.2226717472 -9.1529680927 3.4128259769 1
-71.4449436665 122.2226717472 -12.5005557496 -1.6173063442 1
-67.8893916607 122.2226717472 0 -0 0
-64.3338396549 122.2226717472 0 -0 0
-60.7782876492 122.2226717472 0 -0 0
-57.2227356434 122.2226717472 -10.9254229593 2.8783803783 1
-53.6671836376 122.2226717472 -9.6808262811 1.9671631716 1
-50.1116316319 122.2226717472 -12.2109039664 0.2972105274 1
-46.5560796261 122.2226717472 -8.9595666734 -1.3206079747 1
-43.0005276203 122.2226717472 -9.3777347682 -2.5571690721 1
-39.4449756145 122.2226717472 -8.2619193109 -1.1721881475 1
-35.8894236088 122.2226717472 -10.4898238353 1.475209018 1
-32.333871603 122.2226717472 -10.9897429273 3.1187590394 1
-28.7783195972 122.2226717472 -7.5582673385 -1.9595514456 1
-25.2227675915 122.2226717472 -10.3108688009 1.5610925996 1
-21.6672155857 122.2226717472 -10.1441702348 1.6961610002 1
-18.1116635799 122.2226717472 -9.0440550662 1.6054913913 1
-14.5561115742 122.2226717472 -10.6453962125 1.9359745216 1
-11.0005595684 122.2226717472 -10.1418213727 1.8112199214 1
-7.4450075626 122.2226717472 -9.5384640456 1.0569879413 1
-3.8894555569 122.2226717472 -8.3408622699 3.2230449842 1
-0.3339035511 122.2226717472 -10.3538370826 2.9234502735 1
3.2216484547 122.2226717472 -8.0836707012 0.3245315023 1
6.7772004604 122.2226717472 -10.3512762931 2.6090912867 1
10.3327524662 122.2226717472 -9.3726838317 3.604072801 1
13.888304472 122.2226717472 0 -0 0
17.4438564777 122.2226717472 0 -0 0
20.9994084835 122.2226717472 0 -0 0
24.5549604893 122.2226717472 0 -0 0
28.110512495 122.2226717472 0 -0 0
31.6660645008 122.2226717472 0 -0 0
35.2216165066 122.2226717472 0 -0 0
38.7771685123 122.2226717472 -5.9787193939 3.7048089616 1
42.3327205181 122.2226717472 -8.759895735 0.0444870948 1
45.8882725239 122.2226717472 -7.8244128402 6.411086625 1
49.4438245296 122.2226717472 -10.342375342 2.1163953872 1
52.9993765354 122.2226717472 0 -0 0
-124.778223753 118.6671197414 -10.1627492042 -1.7484011059 1
-121.2226717472 118.6671197414 -8.9751963196 -2.4901646903 1
-117.6671197414 118.6671197414 -9.8386945386 1.1438251962 1
-114.1115677357 118.6671197414 -9.961312204 -1.6902800146 1
-110.5560157299 118.6671197414 -9.240388148 -0.9185287022 1
-107.0004637241 118.6671197414 -10.4093620632 -0.6222718482 1
-103.4449117184 118.6671197414 -9.4633711012 -0.6273227847 1
-99.8893597126 118.6671197414 -9.3368504393 -2.0225645278 1
-96.3338077068 118.6671197414 -10.6481512688 -0.5216593118 1
-92.7782557011 118.6671197414 -9.9355277028 0.5119812935 1
-89.2227036953 118.6671197414 -8.4862621316 0.1940548621 1
-85.6671516895 118.6671197414 -10.492790819 1.9587743784 1
-82.1115996838 118.6671197414 -10.3138004633 -0.6959342826 1
-78.556047678 118.6671197414 -9.9091957226 3.1745665899 1
-75.0004956722 118.6671197414 -10.1372649335 2.4720802182 1
-71.4449436665 118.6671197414 -9.22299244 1.8004469449 1
-67.8893916607 118.6671197414 0 -0 0
-64.3338396549 118.6671197414 0 -0 0
-60.7782876492 118.6671197414 -9.1665137861 -0.8468972387 1
-57.2227356434 118.6671197414 -10.5021862673 -3.5045199016 1
-53.6671836376 118.6671197414 -11.2535748881 -0.2674877086 1
-50.1116316319 118.6671197414 -9.7547536249 1.9147111384 1
-46.5560796261 118.6671197414 -10.7412580428 -1.3021173085 1
-43.0005276203 118.6671197414 -10.0204046293 -1.7163470857 1
-39.4449756145 118.6671197414 -7.6816973924 -0.6610722242 1
-35.8894236088 118.6671197414 -10.9287078341 1.9966387418 1
-32.333871603 118.6671197414 -10.0331026131 -2.1600700936 1
-28.7783195972 118.6671197414 -8.5309081719 1.4436671556 1
-25.2227675915 118.6671197414 -9.3705998788 -3.8183490698 1
-21.6672155857 118.6671197414 -9.960853028 5.0762265322 1
-18.1116635799 118.6671197414 -9.6186609085 2.0354567784 1
-14.5561115742 118.6671197414 -9.0394456451 0.7888644505 1
-11.0005595684 118.6671197414 -10.2908593216 5.5333186273 1
-7.4450075626 118.6671197414 -10.4973472582 1.8678751815 1
-3.8894555569 118.6671197414 -10.7326926435 -1.1887891277 1
-0.3339035511 118.6671197414 -10.3549850227 -3.710142468 1
3.2216484547 118.6671197414 -10.2890755992 -0.3846129221 1
6.7772004604 118.6671197414 -10.8040945189 -3.34910647 1
10.3327524662 118.6671197414 -9.8954557624 4.0974221433 1
13.888304472 118.6671197414 0 -0 0
17.4438564777 118.6671197414 0 -0 0
20.9994084835 118.6671197414 0 -0 0
24.5549604893 118.6671197414 0 -0 0
28.110512495 118.6671197414 0 -0 0
31.6660645008 118.6671197414 0 -0 0
35.2216165066 118.6671197414 0 -0 0
38.7771685123 118.6671197414 -7.8609349966 -2.3800507419 1
42.3327205181 118.6671197414 -8.0029440198 2.9970244048 1
45.8882725239 118.6671197414 -7.4563125952 -1.9223228644 1
49.4438245296 118.6671197414 -7.4709002651 0.4053288261 1
52.9993765354 118.6671197414 0 -0 0
-124.778223753 115.1115677357 -9.0792350158 -2.2622191037 1
-121.2226717472 115.1115677357 -9.3517383396 1.1325753831 1
-117.6671197414 115.1115677357 -9.7955496507 -1.1073560217 1
-114.1115677357 115.1115677357 -9.1353604573 2.9154500139 1
-110.5560157299 115.1115677357 -9.5109841252 -0.0404251528 1
-107.0004637241 115.1115677357 -10.0276631429 -0.362007332 1
-103.4449117184 115.1115677357 -9.0313041006 0.1990351562 1
-99.8893597126 115.1115677357 -11.3588145062 -1.0904371504 1
-96.3338077068 115.1115677357 -9.617530629 1.2986381669 1
-92.7782557011 115.1115677357 -10.9168752206 -2.4094909908 1
-89.2227036953 115.1115677357 -11.3997518169 -0.4728983476 1
-85.6671516895 115.1115677357 -9.2574836255 0.5268868545 1
-82.1115996838 115.1115677357 -10.9072325236 -2.883237048 1
-78.556047678 115.1115677357 -12.1399082851 0.0851065144 1
-75.0004956722 115.1115677357 -11.8232004363 -1.1525318805 1
-71.4449436665 115.1115677357 -12.1529418206 -0.7955048426 1
-67.8893916607 115.1115677357 0 -0 0
-64.3338396549 115.1115677357 0 -0 0
-60.7782876492 115.1115677357 -8.9223910741 2.6965819845 1
-57.2227356434 115.1115677357 -9.292433987 1.4148450283 1
-53.6671836376 115.1115677357 -10.8307797116 4.3242727717 1
-50.1116316319 115.1115677357 -11.0004099401 0.4637854691 1
-46.5560796261 115.1115677357 -8.4168559059 1.4627582828 1
